Tries,outcome
1923,Two pair
1924,Two pair
1925,One pair
1926,High card
1927,Three of a kind
1928,One pair
1929,Three of a kind
1930,One pair
1931,One pair
1932,One pair
1933,High card
1934,Two pair
1935,One pair
1936,High card
1937,One pair
1938,One pair
1939,Two pair
1940,One pair
1941,Straight
1942,One pair
1943,High card
1944,One pair
1945,High card
1946,Two pair
1947,Full house
1948,One pair
1949,One pair
1950,One pair
1951,One pair
1952,Two pair
1953,One pair
1954,One pair
1955,One pair
1956,One pair
1957,One pair
1958,One pair
1959,One pair
1960,One pair
1961,Two pair
1962,One pair
1963,Two pair
1964,Flush
1965,Two pair
1966,High card
1967,Three of a kind
1968,One pair
1969,One pair
1970,One pair
1971,Two pair
1972,Two pair
1973,One pair
1974,High card
1975,One pair
1976,One pair
1977,One pair
1978,High card
1979,One pair
1980,One pair
1981,One pair
1982,Flush
1983,One pair
1984,High card
1985,One pair
1986,Flush
1987,Two pair
1988,Three of a kind
1989,One pair
1990,One pair
1991,Two pair
1992,One pair
1993,One pair
1994,Two pair
1995,One pair
1996,One pair
1997,One pair
1998,Full house
1999,One pair
2000,High card
2001,One pair
2002,High card
2003,One pair
2004,Two pair
2005,Two pair
2006,One pair
2007,Two pair
2008,High card
2009,Two pair
2010,One pair
2011,One pair
2012,One pair
2013,One pair
2014,One pair
2015,Three of a kind
2016,One pair
2017,High card
2018,One pair
2019,One pair
2020,One pair
2021,Straight
2022,High card
2023,One pair
2024,Two pair
2025,High card
2026,High card
2027,One pair
2028,Two pair
2029,Two pair
2030,Two pair
2031,One pair
2032,Straight
2033,Three of a kind
2034,High card
2035,Two pair
2036,High card
2037,One pair
2038,One pair
2039,One pair
2040,Two pair
2041,High card
2042,High card
2043,High card
2044,One pair
2045,Two pair
2046,One pair
2047,One pair
2048,Two pair
2049,High card
2050,High card
2051,Straight
2052,One pair
2053,One pair
2054,Two pair
2055,Two pair
2056,Straight
2057,One pair
2058,Two pair
2059,Two pair
2060,One pair
2061,One pair
2062,Two pair
2063,High card
2064,High card
2065,High card
2066,Two pair
2067,One pair
